pitch_name,pitch_num,pitch_type,game_date,injured,release_speed,release_pos_x,release_pos_y,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated
4-Seam Fastball,3,FF,2022-04-07,0,93.59999999999998,-1.9366666666666668,53.77666666666666,,,,
Knuckle Curve,4,KC,2022-04-07,0,78.325,-1.86,53.8725,,,,
Changeup,2,CH,2022-04-07,0,84.15,-2.08,53.585,,,,
Sinker,6,SI,2022-04-07,0,93.3,-2.0866666666666664,53.75666666666667,,,,
Knuckle Curve,11,KC,2022-04-10,0,77.61818181818181,-1.6872727272727273,53.94363636363635,,,,
Sinker,4,SI,2022-04-10,0,92.2,-1.77,53.905,,,,
4-Seam Fastball,3,FF,2022-04-10,0,93.0,-1.8733333333333333,53.906666666666666,,,,
Knuckle Curve,6,KC,2022-04-16,0,79.95,-1.9933333333333327,53.97666666666666,,,,
4-Seam Fastball,9,FF,2022-04-16,0,94.02222222222224,-2.141111111111111,54.15555555555555,,,,
Sinker,4,SI,2022-04-16,0,93.25,-2.1,53.9525,,,,
Changeup,1,CH,2022-04-16,0,85.2,-2.02,53.98,,,,
Sinker,5,SI,2022-04-18,0,93.02,-1.974,54.0,,,,
Knuckle Curve,8,KC,2022-04-18,0,80.21249999999999,-1.83625,53.99125,,,,
4-Seam Fastball,12,FF,2022-04-18,0,94.025,-1.8725,53.94416666666666,,,,
Changeup,2,CH,2022-04-18,0,85.65,-1.95,53.645,,,,
Knuckle Curve,6,KC,2022-04-22,0,79.63333333333334,-1.795,53.86666666666667,,,,
4-Seam Fastball,2,FF,2022-04-22,0,93.45,-1.855,53.885,,,,
Sinker,8,SI,2022-04-22,0,92.5625,-1.82375,53.870000000000005,,,,
Sinker,1,SI,2022-04-24,0,93.8,-1.72,53.8,,,,
Changeup,3,CH,2022-04-24,0,84.5,-1.586666666666667,53.63666666666666,,,,
4-Seam Fastball,1,FF,2022-04-24,0,93.3,-1.71,53.96,,,,
Knuckle Curve,1,KC,2022-04-24,0,78.1,-1.64,53.95,,,,
Changeup,5,CH,2022-04-28,0,84.55999999999999,-1.4739999999999998,53.63199999999999,,,,
Sinker,3,SI,2022-04-28,0,93.0,-1.586666666666667,53.870000000000005,,,,
Knuckle Curve,4,KC,2022-04-28,0,79.775,-1.5000000000000002,53.8175,,,,
4-Seam Fastball,5,FF,2022-04-29,0,92.74,-1.6759999999999995,53.912,,,,
Sinker,1,SI,2022-04-29,0,92.5,-1.51,53.77,,,,
Changeup,1,CH,2022-04-29,0,85.9,-1.45,53.88,,,,
Knuckle Curve,2,KC,2022-04-29,0,78.9,-1.455,53.89,,,,
4-Seam Fastball,2,FF,2022-05-25,0,93.85,-1.805,53.805,,,,
Knuckle Curve,3,KC,2022-05-25,0,80.06666666666666,-1.7866666666666668,53.92,,,,
Sinker,6,SI,2022-05-25,0,93.28333333333336,-1.655,53.775000000000006,,,,
Changeup,3,CH,2022-05-25,0,86.76666666666665,-1.62,53.53,,,,
Sinker,4,SI,2022-05-28,0,93.9,-1.6875,53.76,,,,
Knuckle Curve,5,KC,2022-05-28,0,81.50000000000001,-1.61,53.77,,,,
4-Seam Fastball,1,FF,2022-05-28,0,95.1,-1.98,54.06,,,,
4-Seam Fastball,1,FF,2022-05-31,0,94.0,-1.83,54.42,,,,
Knuckle Curve,2,KC,2022-05-31,0,79.6,-1.685,54.495000000000005,,,,
Sinker,2,SI,2022-05-31,0,93.25,-1.69,54.29,,,,
Changeup,4,CH,2022-06-02,0,86.57499999999999,-1.575,53.86,,,,
Knuckle Curve,3,KC,2022-06-02,0,80.86666666666667,-1.6666666666666667,54.086666666666666,,,,
4-Seam Fastball,7,FF,2022-06-02,0,93.95714285714288,-1.7142857142857142,54.06285714285715,,,,
4-Seam Fastball,6,FF,2022-06-04,0,92.8,-1.5683333333333334,53.87166666666666,,,,
Changeup,2,CH,2022-06-04,0,86.55000000000001,-1.465,53.595,,,,
Sinker,5,SI,2022-06-04,0,92.66,-1.436,53.814,,,,
Knuckle Curve,3,KC,2022-06-04,0,79.76666666666667,-1.51,53.94,,,,
4-Seam Fastball,2,FF,2022-06-08,0,93.55,-1.765,53.85,,,,
Knuckle Curve,1,KC,2022-06-08,0,80.0,-1.72,53.8,,,,
Sinker,4,SI,2022-06-08,0,92.6,-1.7074999999999998,53.7575,,,,
4-Seam Fastball,7,FF,2022-06-10,0,93.07142857142856,-1.8228571428571427,53.90714285714285,,,,
Knuckle Curve,3,KC,2022-06-10,0,80.2,-1.74,53.93333333333334,,,,
Sinker,3,SI,2022-06-10,0,93.16666666666669,-1.8166666666666669,53.876666666666665,,,,
Changeup,6,CH,2022-06-10,0,85.60000000000001,-1.6500000000000004,53.71833333333333,,,,
Knuckle Curve,3,KC,2022-06-12,0,79.16666666666667,-1.7733333333333334,53.84,,,,
4-Seam Fastball,3,FF,2022-06-12,0,92.76666666666664,-1.8066666666666664,53.876666666666665,,,,
Changeup,4,CH,2022-06-12,0,84.85000000000001,-1.6725,53.705,,,,
Sinker,6,SI,2022-06-12,0,92.45,-1.75,53.88333333333333,,,,
4-Seam Fastball,5,FF,2022-06-18,0,94.2,-1.81,54.00600000000001,,,,
Sinker,4,SI,2022-06-18,0,94.125,-1.73,53.865,,,,
Knuckle Curve,5,KC,2022-06-18,0,81.05999999999999,-1.706,53.938,,,,
Changeup,2,CH,2022-06-18,0,86.85,-1.805,53.725,,,,
4-Seam Fastball,3,FF,2022-06-18,0,93.90000000000002,-1.8766666666666667,53.84,,,,
Knuckle Curve,1,KC,2022-06-18,0,80.4,-1.69,53.89,,,,
Changeup,5,CH,2022-06-21,0,85.2,-1.67,53.876,,,,
4-Seam Fastball,4,FF,2022-06-21,0,92.975,-1.8175,54.005,,,,
Knuckle Curve,1,KC,2022-06-21,0,78.6,-1.59,54.15,,,,
Knuckle Curve,7,KC,2022-06-24,0,79.92857142857143,-1.6771428571428573,53.81,,,,
4-Seam Fastball,8,FF,2022-06-24,0,94.825,-1.8625,53.8725,,,,
Changeup,4,CH,2022-06-24,0,87.07499999999999,-1.69,53.57,,,,
Sinker,10,SI,2022-06-24,0,94.53,-1.803,53.773,,,,
Sinker,8,SI,2022-06-25,0,92.7,-1.82625,53.75375,,,,
Knuckle Curve,4,KC,2022-06-25,0,81.275,-1.7775,53.735,,,,
Changeup,4,CH,2022-06-25,0,85.325,-1.715,53.727500000000006,,,,
4-Seam Fastball,6,FF,2022-06-25,0,93.41666666666669,-1.856666666666667,53.89333333333334,,,,
Sinker,11,SI,2023-06-13,0,93.13636363636364,-2.1300000000000003,53.899999999999984,,,,
4-Seam Fastball,17,FF,2023-06-13,0,93.88235294117644,-2.041176470588236,53.96411764705881,,,,
Knuckle Curve,6,KC,2023-06-13,0,79.69999999999999,-1.8416666666666668,53.85833333333333,,,,
Changeup,4,CH,2023-06-13,0,84.375,-1.9275,53.697500000000005,,,,
4-Seam Fastball,8,FF,2023-06-19,0,93.0875,-2.0162500000000003,53.77125,,,,
Sinker,13,SI,2023-06-19,0,92.83076923076922,-2.0092307692307694,53.67153846153848,,,,
Knuckle Curve,4,KC,2023-06-19,0,80.125,-1.815,53.725,,,,
Sinker,6,SI,2023-06-27,0,93.2,-1.905,53.78333333333334,,,,
Changeup,4,CH,2023-06-27,0,85.375,-1.74,53.7075,,,,
4-Seam Fastball,26,FF,2023-06-27,0,92.9423076923077,-1.951923076923077,53.9026923076923,,,,
Knuckle Curve,4,KC,2023-06-27,0,80.375,-1.7575000000000005,53.675,,,,
4-Seam Fastball,16,FF,2023-06-30,0,91.91875,-1.96,53.866875,,,,
Knuckle Curve,15,KC,2023-06-30,0,80.08666666666666,-1.918,53.78133333333333,,,,
Sinker,13,SI,2023-06-30,0,91.84615384615384,-1.9207692307692308,53.79538461538463,,,,
Changeup,2,CH,2023-06-30,0,84.1,-1.91,53.73,,,,
